Region,Provider,Specialty,KPI Value,KPI Name,Date
East of England,Bedford – Spamedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Cardiology,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Colorectal,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Dermatology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,"Ear, Nose and Throat",21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Gastroenterology,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,General Surgery,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Gynaecology,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Maxillofacial Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Neurology,24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Ophthalmology,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Orthopaedics,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Oral Surgery,25 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Paediatrics,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Paediatric Surgery,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Plastic Surgery,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Respiratory,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Rheumatology,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Spinal Surgery,29 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Upper Gastrointestinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Urology,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bedfordshire Hospitals NHS Foundation Trust,Vascular,24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Blakelands Hospital – Ramsay,Gastroenterology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Blakelands Hospital – Ramsay,General Surgery,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Blakelands Hospital – Ramsay,Ophthalmology,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Blakelands Hospital – Ramsay,Orthopaedics,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Blakelands Hospital – Ramsay,Urology,40 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Brentwood – Nuffield,Gynaecology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Brentwood – Nuffield,Neurosurgery,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Brentwood – Nuffield,Orthopaedics,8 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bury St Edmunds – Newmedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
